"user_message","tool_calls"
"How am I doing?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"What's my current speed?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"How far have I gone?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"How much battery do I have left?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"What's the elevation here?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"How long have I been riding?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"What's ahead in the next 5 kilometers?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Are there any big climbs coming up?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"How hard is the next section?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What does the next 10k look like?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Is it going to rain?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"How's the wind right now?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"What's the temperature?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Where can I get water?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""water""}}]"
"I need a coffee stop","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""cafe""}}]"
"Is there a bike shop nearby? I have a flat","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""bike_shop""}}]"
"Where can I take a break?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""rest_area""}}]"
"The weather looks bad, where can I shelter?","[{""name"": ""find_nearby_poi"", ""args"": {""query"": ""shelter""}}]"
"Find me a flatter route","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"I want to avoid the main roads","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""avoid_main_roads""}}]"
"Is there a shorter way to get there?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""shorter""}}]"
"Find me a more scenic route","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""scenic""}}]"
"I'm exhausted, what's the easiest way to finish?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""flatter""}}]"
"It's getting windy, should I change my route?","[{""name"": ""get_route_alternatives"", ""args"": {""query"": ""sheltered""}}]"
"How am I doing compared to my usual pace?","[{""name"": ""get_rider_profile"", ""args"": {""query"": ""fitness""}}]"
"What's the overall status of my ride so far?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"How am I doing on speed, distance and other metrics?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Can you give me an update on everything about my current ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Are there any important stats I should know right now?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"All status?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Ride details?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"How's the overall ride going?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"What's my current status?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"¿Cómo está todo mi viaje hasta ahora?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Me interesaría saber la velocidad, distancia y batería por favor.","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"¿Podrías darme un resumen completo del estado de la ruta?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"How's the overall ride going so far? Could you check my speed, distance covered, elevation change and battery level for me please?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Can you give me a comprehensive status update on the ride—speed, distance, elevation, battery, and time elapsed?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""all""}}]"
"Can you tell me the speed please?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"How fast am I going right now?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"Speed?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"How's the speed?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"How fast are we going?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"Can you check our current speed?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"¿Cómo va la velocidad?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"Estoy interesado en mi velocidad actual.","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"Me gustaría saber cuál es mi velocidad.","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"How is my current speed doing?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"Could you check my speed for me?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""speed""}}]"
"How far have I gone so far?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"What's the total distance for today’s ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"Can you tell me how many kilometers I've covered?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"What's my current distance traveled?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"How far have we gone?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"Distance please","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"How far have we gone today?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"What's our progress on the distance so far?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"¿Cuántos kilómetros he recorrido hasta ahora?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"Me gustaría saber la distancia que he recorrido.","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"¿Puedes darme el total de kilómetros que he recorrido hoy?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"How far have we gone so far on this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"Could you tell me the total distance for the route?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""distance""}}]"
"What's the battery level?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Battery status please.","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Can you check my battery?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Battery?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"How's the power?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"How's the battery holding up?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Any concerns about battery life?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"¿Qué nivel de batería tengo?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Me puedes decir cuánto me queda en la batería?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"¿Puedes comprobar el porcentaje de batería que me queda?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"Just checking on the battery level, thanks.","[{""name"": ""get_ride_status"", ""args"": {""query"": ""battery""}}]"
"What's the elevation profile like for this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"Elevation?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"How's the elevation?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"How steep is the climb ahead?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"Can you give me an elevation profile for this ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"¿Cuál es la situación actual de la elevación?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"Me gustaría saber sobre la elevación que estamos experimentando ahora.","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"¿Podrías indicarme la evolución de la elevación durante el viaje?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"Can you check the elevation profile for me so I know what's coming up?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"Could you let me know about any significant elevation changes ahead?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""elevation""}}]"
"How is the time going?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"What's the current time on my ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"Can you tell me how much time I've been cycling?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"What time will I finish my ride?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"Time?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"How's the time going?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"How's our progress so far?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"What time will we be arriving?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"¿Cómo progresamos con el tiempo?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"¿Qué hora es aproximadamente en la marcha?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"¿Cuánto tiempo nos queda para llegar?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"Can you tell me how much time has passed since we started riding?","[{""name"": ""get_ride_status"", ""args"": {""query"": ""time""}}]"
"How steep is the next 5km segment?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Can you tell me about the upcoming 5km stretch?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"What's the terrain like in the next 5km?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Any hills coming up in the next 5km?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Ahead 5km?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Next 5km?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"How's the terrain looking in the next few kilometers?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"¿Cuál es el terreno en los próximos 5 km?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Tengo curiosidad por saber si hay algún tramo empinado en los próximos 5 km.","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Aunque no me preocupa mucho, prefiero saber si hay alguna pendiente en los próximos 5 km.","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"How's the next 5km looking?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"Can you give me an update on what the next 5km entails?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""5km""}}]"
"What's coming up next on the route?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Can you tell me about the upcoming section?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Could you describe what lies ahead in the next part of the ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What does the next segment of the route look like?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Next segment?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's next?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"How's the terrain looking ahead?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's coming up next on our route?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"¿Cuál es el siguiente tramo del recorrido?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Me interesa saber algo sobre el próximo tramo.","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"¿Puedes darme información sobre la sección siguiente?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's up next on the route?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Could you tell me about the upcoming section?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's the next part of the ride like?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What should I expect in the next stretch of the ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Could you give me info on the next segment ahead?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Ahead, next section?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Next segment info?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"How is the terrain looking for the next part of our ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What should I expect in terms of elevation and distance for the upcoming section?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"¿Cuál es el siguiente tramo de mi ruta?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"¿Hay algún cambio importante en el siguiente tramo por delante?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Me gustaría saber más sobre lo que viene después, ¿puedes darme información del siguiente segmento?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"Can you tell me about the next part of our route ahead?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What should I expect in the next section of our ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""next_section""}}]"
"What's the terrain like in the next 10km?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Can you tell me about the upcoming 10km segment?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"How steep is the coming 10km stretch?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Any advice on the next 10km ride?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"What's ahead in 10km?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Show me the next 10km segment.","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"What's the terrain like for the next 10km?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"¿Qué te parece el tramo de los próximos 10 km?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Ten en cuenta los próximos 10 km, ¿algo que debas evitar?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"Los siguientes 10 km, ¿cómo está el terreno?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"How is the next 10km segment looking?","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"I'm curious about what's coming up in the next 10km.","[{""name"": ""get_segment_ahead"", ""args"": {""query"": ""10km""}}]"
"What's the weather going to be like ahead?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"How will the weather affect my ride in the next few kilometers?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Could you check the forecast for the upcoming part of my ride?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Any weather changes I should expect soon?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Get the forecast ahead.","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"What's the weather like ahead?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"How's the weather going to be in the next 5km?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Can you check what we can expect ahead regarding the wind?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"¿Cómo estará el clima en las próximas horas?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"Me interesan las condiciones meteorológicas que se avecinan.","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"¿Traigo algo conmigo para protegerme del viento que viene delante?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"What's the weather going to be like ahead on my ride?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"I'm wondering if I should pack an extra layer based on the forecast ahead.","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""ahead""}}]"
"What's the wind forecast for later?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"Wind check?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"Forecast wind?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"How strong will the wind be during my ride today?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"Should I expect any windy conditions on my next segment?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"¿Podrías decirme qué viento va a soplar en la ruta de los próximos 5 kilómetros?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"Me gustaría saber si hay viento fuerte en el tramo siguiente. ¿Puedes darme más información?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"¿Hay vientos fuertes que debería tener en cuenta para mi próximo pedaleo?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"Can you check the wind forecast for our next section?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"I'm wondering if we should plan any changes based on the upcoming wind conditions.","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""wind""}}]"
"What's the current weather like?","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Requesting get_weather_forecast with current (Short, terse, voice-command style. (e.g. 'Status?', 'Check battery') variant 0)","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Requesting get_weather_forecast with current (Short, terse, voice-command style. (e.g. 'Status?', 'Check battery') variant 1)","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Requesting get_weather_forecast with current (Indirect intent. Implied need without naming the tool explicitly. variant 0)","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Requesting get_weather_forecast with current (Indirect intent. Implied need without naming the tool explicitly. variant 1)","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
"Requesting get_weather_forecast with current (Natural Spanish language (Spain/International). variant 0)","[{""name"": ""get_weather_forecast"", ""args"": {""query"": ""current""}}]"
